pl_rade,pl_trandep,pl_orbper,pl_trandurh,pl_insol,pl_eqt,st_rad,st_logg,st_teff,st_tmag,st_dist
9.06883,5705.0,8.0277326,4.284,248.619,1106.0,1.15,4.38,5962.7,9.02855,114.048
5.58857,2320.0,12.5187279,5.38,626.362,1393.0,0.98,4.47,5729.0,8.9361,84.5362
2.51593,813.0,6.2586065,3.201,232.392,1087.0,0.98,4.47,5729.0,8.9361,84.5362
2.71349,800.0,26.3208756,4.414,26.4328,631.0,0.98,4.47,5729.0,8.9361,84.5362
2.1597669,470.6731965,18.795547,4.3425576,48.477077,672.9826313,0.977727,4.47,5729.0,8.9361,84.5362
9.39131,8268.0,7.0643978,2.424,104.311,890.0,0.96,4.44,5429.6,10.2938,132.353
2.35888,1136.0,8.9534775,2.696,45.5604,723.0,0.76,4.61,5029.5,10.2549,94.6375
3.00336,1669.0,9.6867516,2.512,41.6645,707.0,0.73,4.59,4738.1,10.112,72.0238
16.7087,7142.0,2.1031647,5.059,14140.0,3037.0,1.93,3.93,6122.0,10.079,302.819
2.35215,1041.0,5.7484439,1.76,75.272,820.0,0.69,4.61,4534.0,9.9469,58.5946
8.76741,6911.0,2.3106428,1.294,203.685,1052.0,0.99,4.41,5339.9,10.4782,149.667
10.678,4340.0,3.6714717,2.149,324.114,1182.0,1.54,4.06,5618.0,10.4221,248.427
2.2187585,2093.9594201,2.4919771,1.4338141,39.6452664,639.9817426,0.482388,4.68962,3948.0,10.9473,37.8871
2.9641461,558.3758637,25.5195307,6.6877451,45.6335702,662.8890748,1.17321,4.29,5742.22,7.9995,64.9943
3.239855,713.2183569,91.6827832,9.7504857,5.9944903,399.0780255,1.01814,4.44521,5802.0,10.0564,138.411
6.4522449,20690.6684294,27.3613778,4.0586418,0.8345555,243.7718547,0.44128,4.438,3050.0,13.802,100.641
2.84674,318.0,29.0497517,7.117,257.066,1115.0,1.8,4.25979,8208.0,9.0963,272.217
3.2396838,533.486013,25.0571312,7.5424225,53.1389289,688.6094029,1.15281,4.26563,5696.0,9.6245,143.138
3.878568,6260.6703602,24.2454967,3.3725583,0.05273,122.2177444,0.465271,4.84874,3535.0,10.2565,27.6227
2.00495,796.0,3.4447015,1.912,231.437,1086.0,0.63,4.62642,3912.0,9.91924,39.6345
2.5248559,1324.0402774,3.2947689,1.7483103,56.9377632,700.5995436,0.62326,4.63168,3853.0,11.2582,70.7145
1.2407226,394.9832006,0.7645807,1.07057,399.2723837,1140.0845694,0.62326,4.63168,3853.0,11.2582,70.7145
4.6025162,3292.6812864,12.6396982,3.3830702,39.6563977,640.0266601,0.789425,4.59186,5217.0,10.7192,126.903
2.2730301,1026.6018729,6.4002807,2.1559875,56.4368797,699.0536347,0.720551,4.58487,4599.0,11.0157,102.551
4.3869878,1495.4449473,18.6548829,5.4431451,27.832077,585.8091542,0.876154,4.49143,5141.0,11.1802,169.422
3.2819879,1094.8419495,4.3074513,2.3379196,196.4755358,954.8757629,0.876154,4.49143,5141.0,11.1802,169.422
2.4489454,773.9266468,5.9041278,2.7678313,129.0410781,859.6105665,0.876154,4.49143,5141.0,11.1802,169.422
3.241643,1370.7888539,37.9251983,3.5345219,10.8068346,462.4282696,0.876154,4.49143,5141.0,11.1802,169.422
